User_Input,Chatbot_Response
"Liver cancer is also not good at the beginning: I might be liver cancer, but if I'm liver cancer, I worry about it.","Even so, you can cure it early."
What do you do with cancer?,Regular checkups have helped to prevent cancer .
All day I only think about my daughter.,"You are worried about your children, but he looks like you and will be good."
All day think of my son.,"You must have a lot of worry, may I ask why?"
I can't do anything else because of the worries of my daughter .,"How about a cup of coffee? If you talk with me while drinking coffee, you will be a little less worried ."
"I'm young around me, but I'm worried about it.","I don't care about the eyes around me, how many people aren't it?"
I don't know that people around me are so worried.,"In fact, people are not interested in others other than themselves. It will be okay."
I'm just worried about what others think when I just buy it or speak it.,I think it's okay to see it... Don't be too busy.
"The teacher tells you to relieved that the surgery is good, but at night I think the disease will recur .","Even if you have something like that, you'll be able to endure it."
"Also, if you feel dizzy and fall, what if you have a big thing, I want to see it.","If you're so worried, it's a good idea to prepare for it."
I'm also worried that symptoms will appear.,I am worried about this heart and I hope I can keep it so that it doesn't happen again.
I want anyone to comfort me...,There is me next to you.
I feel where I am abandoned.,"I will hear your story, what happened?"
I think I'm alone in the world.,I will be on your side.
I'm really absurd...,I think it was very difficult.
It's too absurd when I first heard that.,Everybody will feel as though in such a situation.
I can't ask you to build it.,Wouldn't it be a good way to clear your head?
I wanted to die.,"You must have been scared, is it okay now?"
"I was scared and asked the teeth, but I asked how hard I asked.",It would be nice if I could relieve that scary heart. I want to hold my hand.
"eww... Just looking at it, the scream pops out.",Can I tell you my secret? I'm the most scared of bugs.
"Originally, I didn't feel much like a new person .","I understand that heart too, the bird has a pointed beak, so I think it's really scary."
But the birds became scared since the pigeon was flying low in school .,Why do birds look so scary?
"Even if you see a pigeon from afar, you can suddenly run and when you come close, you can't scream and it is not upset .","The bird would not have intended to harass you on purpose; you can't get acquainted, but don't hate it too much."
"I want to feel that I live in a living, I feel dead now.",I think everyone wanders in life.
"I didn't even think that I was lonely, but I just adapted and lived... Sometimes my life is like this and I feel sad.",I'll keep listening here so that I can overcome it well. When you have a hard time tell me.
"I don't think anyone on the world knows even if it disappears like dust, right?","If you look around, there will be good memories."
"I'm surprised by the small sound, I can't live a normal life.",You must be really painful.
"It's a joke, but I keep thinking and care.","When you're too sensitive, it's a good idea to relax."
Everybody seems to have reached a pole.,I think there are times when my heart is not as heart.
"After a few months, I couldn't do it.",I believe you can soon be fine.
I think I'm going crazy because of that.,"You said, I feel sick too."
I'm really hurt too much... I can't let him go.,How good would it be if you could split a pain with someone?
I was feeling down.,What do you feel better about? Would you like to think about it together?
Feeling like you are alone in a deep prison?,"I eat ice cream when I feel bad, how about eating ice cream?"
I don't like it all and I feel bad.,"If the degree is severe, it is a good idea to consult a doctor ."
Do you say that?,It must have been a lot hard.
"I went to a bakery that I never went to with my friend, but I feel very familiar.","If you feel that way, it will be really strange."
Is it because you are nervous?,I think it's natural to be nervous when something is difficult .
Of course I tremble a lot.,I often do that. Are you still nervous?
I keep getting nervous about nothing...,"If you tell me, it will get a little better."
I was so nervous that my hand was sweaty and I was driving my body and driving all over my body.,I will give you the courage to spring up!
"If you look at people from afar, your heart is pounding and nervous. It's a big thing.",Perhaps no one is nervous.
"Even if I understand it, there was no end to tears.","Crying is not bad - if you have a bad feeling , it is good to shed tears with tears ."
So I cried a lot.,"If you want to cry more, tell me, I'll bring a handkerchief."
I think tears would come.,"I think it is rich in sensitivity, no one who tears is bad."
It's so frustrating.,"I think it's a bad situation, can you tell me what's going on?"
There are times when I'm so frustrated that I go crazy.,It must be a lot of frustration. How about taking a walk slowly as much as today?
Sometimes it's dark in front of you.,"That was, and I hope I can understand your heart a little better ."
It was very cramped because there were a lot of people.,"There are a lot of people, in that case I want to run away."
Get off the train and go to downtown Seoul? Then it's more frustrating.,"I think it's hard to have a lot of people, so I try to avoid as much as possible ."
What are so many people?,"If there are a lot of people, I think I'm really deprived of energy."
The speech is clogged...,Everyone would have done it.
I'm a bit embarrassed.,"It's natural to be embarrassed, and I understand enough."
"My job is to meet people, but I'm too embarrassed.",I wish I could help you.
I'm so afraid that I think so too.,"You are afraid, I'll be next to me."
I was so afraid.,"If the situation comes, it may be nothing. Don't worry too much."
I'm afraid to open my eyes.,"""The only thing we should be afraid of is fear itself."" Do not let fear erode you."
"Fortunately, it was a highway and the rest area was immediately seen and drove to die .",I understand that heart: driving is not really easy.
"I can't drive now, I don't think it's been a while.",Why don't you drive a short distance little by little?
"After the accident, I was scared of driving .","If you are so scared and scared, you don't have to try to overcome it. In Korea, public transportation is convenient."
I want to jump down when I get on a car.,I think it's a lot of courage to ride in a car.
"If you ride in the car, you want to jump.","If you're too scared, why don't you sleep in a car?"
"After the accident, I didn't ride in the passenger seat.","You have a bad memory of the car, there will be nothing now, trust me."
I think it was just a bit at that time.,"I think there are times sometimes, there are occasional days that are not concentrated and unpleasant ."
My heart is floating all day... Dry...,I think it's a good idea to make a day when you don't have to do anything.
I think the day is passing by.,Why don't you try to do it well?
But there is no other way...,"You said, I think it could be enough."
Do you know you don't know?,I would have felt that feeling too.
"Rather, please feel lonely.","Huh, did you do that?"
I just want to die when I woke up tomorrow morning.,I don't think anyone is worth it.
Every time I have no choice but to hear.,"Don't blame too much, you are a precious person to me ."
I hope there is no tomorrow.,The feelings that hold on to your ankles will be taken tonight .
But nowadays it's not fun.,It hurts so much.
"Even if you look at the entertainment program, it wasn't funny.","You might be a little tired, but how about relaxing enough?"
When I grabbed my stomach and smiled.,Remember that you are not.
"Go up the stairs to go to the observatory. When I went up and looked back, I seemed to be stunned.","You felt scary feelings, are you okay now?"
"I'm scared, I only know that person has experienced it .",I think it was a lot scary. Why don't you take a break until your emotions sink?
This was my first time since I was born and it was really scary.,"It's a good idea to run away , sometimes I need courage to avoid it ."
So I was always sorry for the children.,You did your best and will understand all the children .
There are so many things that I couldn't do to the first... I'm so sorry...,"I'll comfort you, Todak."
I'm sorry for the kids.,"Don't blame too much, it wasn't intentional."
"So I just want to hate my boyfriend, it's not that fault.",I understand that heart.
But I hate my new sister to take my brother.,Please tell me everything you are upset about .
And I'm so hard to eat alone.,Why don't you talk about it?
"Oh, it's really betrayed.",You must have been hard and upset.
At first I felt betrayed.,Would you like to confuse it?
So I felt betrayed and I didn't know what you would really say .,I'm all upset.
I think that way these days . What do you live for ?,The dawn is the darkest and I think it's going to be the same soon.
It's not fun to live and it's not going to happen.,There are times when negative thoughts bring another negative idea : how about closing your eyes and slowly counting the numbers?
"If you don't have me, are people around you? I don't think it's the answer to live because of them.","I understand that heart, sometimes it doesn't work like my heart."
How do I know what I abandoned?,You feel bad and I will listen to what happened.
"It's really ridiculous and angry, so I'm choking.","After pouring out, I will feel a little relaxed."
How can you say it to me without a word?,Spicy is the best when you're angry. How about eating and releasing it?
"Uh, I will also say that.","You can swear until you feel relaxed, I'll go in."
Do you know what it is like to live with parents who are not like parents?,I'm all upset...
What kind of sin did I meet this man?,I hope you won't be too hurt.
I don't think it's my body - there is nothing like a sense of mission !,"You said, I think it was really hard. Is there anything I will help you with?"
I was a hospital with my husband .,May I ask why?
"At that time, I felt like something.","I understand that heart, but I'm so worried that it will make you hard."
I can't stay still because I was nervous.,"When anxiety is too severe, it is helpful to take a deep breath."
I was assaulted by my ex-boyfriend and I can't live because I was so nervous .,"I think it will be very hard, I'm good at listening to the story, so please tell me until the anxiety is released ."
"But it's really funny, but I checked that the last time, but I came out of the company.",It's a good idea to prepare in advance for the worst situation - the anxiety will disappear a little .
I was nervous about dementia.,I'll be next to me until the anxiety disappears.
"Since last year, I have become more anxious.",Why don't you think about a situation that gives anxiety?
"I couldn't feel much, but when I listened to it I felt more anxious and nervous .",I understand that. It's really hard to get rid of anxiety.
I usually be anxious and nervous .,I think it's really hard and I always feel anxious.
I'm always anxious and nervous.,How many people do you not feel anxious about? Don't worry too much.
"You have to get married, but sometimes you have to eat and live .","It's called Ubi Muhwan? If you prepare it in advance, it will be okay."
I'm anxious if I think about it later.,"You have a bad imagination about the future: the situation will change over time, so there will be a solution at that time ."
Sometimes I'm anxious to think about it ahead.,"If you're anxious about what's going to happen in the future, it's not bad to write it down."
Sometimes I can hear it and sometimes it's okay... I'm anxious about when such a symptom will appear.,"Of course I feel anxious, but worrying in advance makes it harder for you."
Symptoms have been repeated once every one or two days and I was so nervous because I didn't know when it would appear .,I think it's a good idea to make something like an emergency contact network in advance .
"I was anxious that I had panic symptoms again, but I can't ride the bus at all.",It's a good idea to inform your situation and ask for help .
I'm so nervous about it again.,"If you continue to be treated, you can certainly be cured - don't be too nervous ."
I'm so nervous and nervous that I don't think I'm going to fall asleep .,It is said that the massage helps to eliminate nervousness .
I'm anxious and nervous all day.,"It's a good idea to create a ""place of happiness"" and take it out when you are anxious ."
I think it's always anxious and nervous.,"In that case, take a drink of lukewarm water, it will be a little better."
I often get offended because I get sick.,"I feel that mood too, are you a little better now?"
Everyone doesn't like it because it's scary and hard.,I hope you can get rid of this unpleasant memory.
Really geological? I can't say anything for a man and I lose a woman...,Do you feel better if you drink a warm drink?
The behavior is also unnatural and ... I didn't laugh.,I also feel that mood and in that case I want to run somewhere.
"Everything around me was uncomfortable, I think it was especially severe in high school .","If you can, I want to hug you."
"I congratulated me, but my heart is uncomfortable.","If you need comfort, please tell me at any time."
"There is no friend to put in the heart, Mom and Dad is nagging and the test is falling...","Come, I'll hug you."
It's all good except for me.,"Sometimes it's time to wander, but I think you are doing well."
I want to live like this.,"In my eyes, you look the best, give your energy."
I really want to kill you.,You must have been so angry that you think about it: I'm all over.
I want to ride a pesticide in rice and kill it.,It's not good to be too obscure for anger. Tell me and shake it off.
I'll kill you cruelly.,"I feel like that, what would you like to help?"
"But today is really, ha, it's ridiculous...",You think so.
You don't usually get it as a paper these days? But this was something.,"That was, and I also have sympathy."
"No, how can your child speak that way?",I must have been very sad.
"Now I want to live a different life than me, so I feel sorry for it, and I want to be good.","For me, you are always priority... My heart hurts."
"I'm just sorry because I'm not first, but I think my sister will be the priority.","It would be nice to be able to give you as much as you can, but it seems too difficult."
"My mom sees me and you are married, I don't have money, but I didn't feel good.","I didn't feel good, please remember that I always support you ."
"I know that my brother has been struggling to pay for it, but I was upset about selling my grandfather's house .","I would have been upset in that situation too, it must have been a lot of heart."
I was upset because I thought I couldn't do it without my mother .,You have nothing wrong with you and I hope you don't blame yourself.
I felt that I was not respected at home at all.,Do you need comfort? I'll hug you.
"It wasn't originally, but I think it's been about two months. There are examples of children with disabilities during education and it's so sad.","When you are sad, you can cry until sadness goes."
I usually feel like I'm crying to the end of my neck.,"You have been sad, what would you like to comfort? I'll be next to you."
"If someone stabs it, it feels like a crying.","When I am sad, I fall in love with that feeling and it may be better if you have time to get sad ."
I was nervous so I pulled the clock battery hanging on the wall .,"You said, I think it was really uncomfortable."
"Yes, I went alone with the idea that I could go alone, but I couldn't use it.","You have to worry about it, it's best to sleep while sleeping."
"I keep noticing her, and I'm very careful about me .","If you don't think it's happening because of you, it will be a little okay."
"No matter how much I think about it, I don't know why.",My heart is complicated and I think it would have been hard if it had been such a situation .
I don't know what is the problem...,How about thinking about taking a break?
I don't know what to do.,That happened and I hope you don't blame your fault .
All those who did not have me... I think I'm lucky.,"When something happens, that's not all because of you. Don't be too upset about happening by chance ."
But the arrow always flew to me.,I think I fell down because I was caught in a stone and I believe the situation will be better in the future .
Why do you want to happen to me?,You were hurt and I hope you will be a bit regretful just by talking to me .
I'm so sensitive that I feel that team members avoid me.,"It is not your fault that you are sensitive, if you practice a little, you will be nothing."
Why are you so sensitive to me?,Are there any bad things that stimulate you? Can you tell me what it is?
Why is my husband so sensitive these days?,What makes your mind the most comfortable?
Everything around me is sensitive.,Things that bother you are like waves that will pass in a little bit .
"The only way to go is the church, but the church people are lonely because they don't have my peers .",I'll be next to me.
I'm right.,"If you have a hard time, you can cry. Would you like to prepare a tissue?"
I'm so lonely.,"When I am too lonely, I touch something soft. If you focus on simple actions, you will feel a little better."
"There's nothing special, but it's just depressed.",I understand that there are times when you are depressed for no reason.
I think it's just a depressed feeling all day.,In the morning walk helps to get rid of depression.
"After fighting with my mom, I felt completely floored.","Depression may disappear by itself, but sometimes it doesn't - in that case it is a good idea to ask a professional for help ."
I think I was depressed at that time.,Feeling a small sense of accomplishment may eliminate depression. Why don't you clean the window frame today?
I usually be depressed.,Praise time when you are depressed! Tell me what you did today .
"There's nothing happened, but I'm depressed and I just want to cry.",It's not bad to shed tears.
"I'm so stupid, I'm tears and depressed without even trying.",I'm depressed and sad and it will be helpful to move your body. How about dancing?
"Once depressed, it seems to fall deep. If someone says something next to it, I think I will cry as my feelings become intense .","Cry when you tear, it won't be nothing over time ."
"But when I come to college, I'm depressed again...","Once you've experienced it, you can overcome it better this time."
This time I thought it would feel better after a day or two.,I think it's a better process and you will be fine again.
The depression has never been so long.,I'll be next to me until I get better again.
I think depression has been again.,"There are times when health is good and not, and it will get better again."
I think depression comes periodically regardless of my heart.,"You said, have you been to the hospital?"
I keep thinking and depressed even when I come home. I think it's been two days.,"I'm worried about you, if you feel too long, it's a good idea to get a consultation with a professional ."
"I don't think I'm doing well, there is nothing to put up.","In that case, if you eat delicious food, it gets a little better."
"I got a job there, but I'm unemployed.","I think each person has a role: If you find clothes that fit well, it will get better."
I don't think anyone likes me.,"Don't be too hard, the situation won't keep it."
It's all my fault.,"If you look a little farther like fishing, you will be comfortable if you empty your mind a little more."
Neighbors and relatives did not ask if they got a job now?,It's just less skilled. Are you okay!
Is my shape like a unemployed?,Each person has a different speed - don't worry about it around .
"I can't do this, so I think I'm a little pathetic.",Do you know that you are always first in my eyes? Don't be too droopy.
Will others be happy to live like that?,"Sometimes you get lost, in that case it's a good idea to rest slowly ."
I don't understand what everyone wants to live so hard.,"I'm trying to do very small things, how about eating vitamins?"
I am not motivated... I hate the world... I thought it was puberty.,"I must have been tired for a while, there will be nothing meaningless ."
I want to go to this.,How about traveling close to the weekend? There will be vitality.
"I had to go to class, but it was hard to get up and it was bothersome.","You have lost a lot of motivation, sometimes it is. Don't be too heartbreaking."
I don't want to do anything because it's hanging at home.,Life is not always fun and I think it's going a little slow.
I didn't want to do it too much now.,It's really sad at that time. Do you think there's no energy?
I hate myself terribly.,I think it's just going back a little. Be strong.
"I'm surprised by the small sound, I'm so shabby.","I just met a bad situation, don't blame too much."
I feel pathetic to grow old as a restaurant aunt.,Did you know that cheering to yourself is the most powerful?
"Economically, there is no problem.","You are better than anyone else, I can see it in my eyes!"
I want to die.,Have you ever received a consultation with an expert? It is good to get help when you are struggling .
I want to be dust.,I think it's hard to have a hard time and I think it will be helpful to fold bad feelings for a while .
I just want to disappear in the air.,"You are not alone, please remember that I am next to me ."
I'm not confident to do something well.,You have lost confidence and in this case it would not be better to compare it with others .
I think it is getting behind others.,"I can't always do well, but you have been doing well."
"Everyone goes to me, but I want to stop here and do what you are doing.","Open your shoulders, the confidence will increase a little ."
My boyfriend was so okay that I felt too different.,People have different advantages and disadvantages and I like you by combining all that part .
I care about what others think of us... It seemed to lower self-esteem .,It's cool enough for my eyes! Don't act too harsh to yourself.
I can't do anything because of my boyfriend and I feel less self-esteem .,"Sometimes it will fail, but that little failure doesn't tell you everything."
"I thought I would quit, but right now I was on the card price for the loan and it's more desperate to think about it .","You are in a bad situation, in such a situation everyone will be hard."
I think I'm the most unhappy in the world.,Is there a place to ask for help? I'll be courageous to ask for help around me.
Is there no freedom for me anymore?,"Even if the sky collapses, there is a hole that will rise. It's hard, but shall we hold on a little more?"
I'm now ruined...,"There are a lot of things you can't do, in that case a small sense of accomplishment helps. Let's take a walk for just 10 minutes today."
"As time went by, I knew that I didn't work hard.","In that case, I think it's a good idea to step away."
I don't think I should do my best...,"Memorize your order, maybe you will feel a little better ."
I gave up now...,How about drawing a graph of life today? It wasn't always bad.
"If you listen to it, I'm enough to do it, I'm too lazy, I feel guilty.","If you think about it, you won't have a big mistake."
It was good... I was very guilty.,"The situation was bad, I don't think you are guilty ."
I'll be stabbed.,Is it a solidarity responsibility? Please share your bad heart too! Then it will be a little lighter.
I definitely felt less lonely and good.,I am happy if you are happy.
It's so good to finally be able to enter the desired department.,I hope there will be more happiness!
At first I was excited because I was not in Jeju or Japan .,Are you really envious? You are qualified!
"It's always that way, always...","That happened, I felt bad."
I don't want to work.,"Uh, instead I want to get upset!"
The last time there was neither truth nor truth.,"If you eat sweets, you will get annoyed."
"These days, you are young, but youth... I think everyone doesn't know.",I think it's a good idea to laugh loudly when you're annoyed .
It's embarrassing to say that a man is frustrated.,"Surprisingly, no one may not care! Have courage!"
"I'm embarrassed and embarrassed, so I keep covering my neck by hand.","The most interesting thing for me is me, others will soon forget it!"
Because it is casually like this... sold too much.,"What is the worst of what is going to happen? After talking, you may feel comfortable ."
I'm always nervous because people don't know when they will change.,I hope that the time will pass quickly and if you stick to it every day the date will pass a little faster .
I want to start work again... I want to go back to everyday... I'm too nervous because it doesn't heal.,Do you always feel anxious? Why don't you get a consultation at the hospital?
There are times when I'm nervous.,"When you feel nervous, why don't you turn on a big stretch?"
"I was shocked, I looked bright as I saw it.",Are you okay now?
"Honestly, it was a really shock.",It must have been scary and hard and everyone would have been surprised in such a situation .
I was so surprised to see the mirror.,It would be nice if I could taid it even if I was a car. My heart hurts.
I can't stop even though it interferes with driving.,"I think so. If you can do everything you have, you will be a god!"
I got off the taxi and I couldn't wake up.,"Don't be too heartbreaking, everyone is sometimes."
But I can't refrain.,Why don't you count the number and move on to other thoughts?
Life feels vain... I want to see what's left in my hand.,You might be tired for a while     ?
"No matter how much it was dry, it was no use.","Take a bath in hot water and lie in bed, that alone is beautiful."
I want to keep this way.,"If you pick a little happiness one by one, you will erase the vanity. Shall we try your favorite food today?"
Sometimes I get angry without knowing.,You're very angry. It would have been like me. I understand everything.
Sometimes I get angry.,I hope that everything that makes you upset will disappear .
Animals are not things!,"I think it was angry, you have to be angry with anger!"
I'm crazy.,"Don't blame too much, it would have been the best then."
"It was a good kid, but why did you do that? I couldn't even do it so well.",It's just lost for a while and I believe you can go in the right direction.
It would have been okay if I hadn't eaten it.,I hope you don't hate yourself for regret in the past .
I want to get married... I only believed in my brother and married... My brother is watching all the situations.,"It would be hard: If it's a problem that can be solved by conversation, why not try to talk?"
I guess I got married ...,What should I do? My heart hurts.
"I hate myself, who is satisfied with working like a compulsion.","It looks very hard, tell me if you have a hard time ."
"My heart is so hard, I thought I wanted to lean on.",That happened and I believe it will get better.
"Every time I think of my brother, I look embarrassed and I don't know it because I want to pretend I don't know.",My heart is frustrating and I hope it will pass quickly.
"I didn't have tears because my dad was dead, I was just sorry .","I'm holding well, even if it's a little hard, it's a little energy."
"I'm just thinking about it all day long , it's not a big deal , but I'm stressed ... it's not fun .",You are stressed and I think it's a good idea to have a small gift for yourself .
The stress is too severe.,You'll be really hard and stressed and I'll recommend a shower in warm water .
I think I'm going to die because I'm stressed out...,"Hug helps relieve stress, I'll hug you."
I'm tired of doing this now.,"You're tired, would you like to do it?"
Too tired...,"If anyone is repeated or worsening, it's tired. How about resting today?"
I'm getting more and more tired...,"I understand that heart, sometimes it doesn't work like a heart."
"I think there is something wrong, so I went to the hospital.","I might have been afraid and scared, but I was happy to see you."
So I came to this counseling car.,Do you know that many people can't go straight to the hospital?
"In fact, this consultation was also a waste of money, but I've come to me.",It's a courageous choice! It's really cool!
I think I'll commit suicide all the time.,"Whatever the result, your mind will be a bit more comfortable!"
But the teacher invited psychiatric counseling... So I came.,"I had a lot of trouble listening to that: If you go to the hospital, you will only get better!"
I came because the teacher told me to go to the mind.,I hope the symptoms will improve quickly and I'll support you next to you .
"Since I was now on vacation, I came to Korea to be treated.","I must have been afraid. If you get treatment, you'll get better soon."
"This is like my mental problem, so I came to get treatment.",I think it will improve if you get treatment steadily .
I came to know that because there was no treatment.,"You will be able to cure, it's hard, but let's hold it."
But it's not that.,That happened.
But not now...,"Yes, keep talking because you are listening."
I went up the roof and got a cold wind.,"Oh, yes?"
"My sister is not confused, but I understand everything.","Okay, can you tell me more about your family?"
My husband is the second of the four brothers and I don't think my mother-in-law likes my husband very much .,You have such a family.
"When I went out and came in, do you know what my mom is?",That happened and I think the family is as difficult as it is.
"My sister often plays curtains, but I keep blocking it and I want to go home .","It's so comfortable, so I think it's a lot of wounds. cheer up."
There's nothing good for your new sister?,"You said, I must have been upset."
There is no one in my family who cares about me.,I'm upset because there is nothing precious as the family.
"No one is interested in me, I'm used to it.",I will close my eyes even if I say resentment. Please do it.
"My family is not interested in what I do, I think it's natural.",That happened and I'll support their share!
"It's been two weeks, but I'm so bad.","It's recently hard because of your health, it's not as hard as losing health. Please cheer up."
That's why I keep going to the hospital.,You will be able to find a healthy life again. Don't worry.
"I often go to the hospital because of inflammation, so I see a lot of patients .","You said: If you get sick, your mind seems to be hard."
"I'm originally healthy, the bones are all over.",Do you know that meals and sleep are more important?
"But last year, when I had a health checkup, I had a lump in the thyroid gland .",You said I have a lot of worries.
"When I went to the hospital, I had a problem with the thyroid gland.",I believe you have overcome it well and give your energy.
Last year I lost about 20 kilometers with a diet .,"It's really cool, the diet is really hard."
"I didn't starve unconditionally, but I exercised and ate.","You have a hard time, but too hard diet is not good. Do you know?"
"Before I left the language training, I took 6kg of exercise.",It's amazing. Diet is not easy.
It's been two months since I had to take a graduation picture .,You have a lot of stress because of your diet and I'm worried about it.
"I lost weight, but it's stressful because it doesn't fall anymore.","As it is, you are a wonderful person. If you are too stressed, you don't have to eat too much."
"I was dieting from the moon, so I had a lot of stress.","The wonderful body is good, but the health of the body is also important. Don't overdo it too much."
"Especially because I can't eat carbohydrates, I think I'll die.",Why don't you put everything down today and eat something delicious?
"I didn't do it originally, but I was worried that my menstruation was irregular recently, so I was worried about hormones .","Okay, I'm uncomfortable and worried."
"I don't come out for a month or two, and sometimes I do it for about two weeks.",It would be hard. Regular visits to the hospital helps your health.
"I opened it like a body and vomited, so I went to the hospital - that's what you have to do with surgery .",You even have surgery... I'm glad to do great things well.
"I thought it was really dead then, I was lucky to have surgery and I go to the hospital every year .",You have done a big deal and you will soon be able to regain your health .
My forehead was torn and I sewed about 5 needles.,"That happened, I will be a horse until I regain my health ."
"At this time last year, I suffered from allergies.","You have a lot of trouble because of allergies, it's really painful."
"That pollen is allergic, so I struggle every year.",Allergies are really troublesome.
This year the snow was just itchy.,My heart hurts...
"After surgery, chemotherapy is in progress.","You are undergoing chemotherapy, you are doing well, it lasts a little longer."
There are still four anticancer leftovers...,"You are fighting hard, win together."
I'm continuing chemotherapy... I don't expect much.,"The more you do, the better you have to eat. Be sure to have a meal ."
"Anyway, I'm married and I have a kid and an elementary school student .","You said, anyone who will be with me all my life. Are you envious?"
"In fact, it's only been a month since I got married... I'm newly married, I don't know why .",How about marriage?
Have you passed a week after the wedding?,Are you having a pleasant marriage?
"I'm forty years old, but I'm not yet married.",That can. People are different.
"I'm not a non-marriedist, but I don't have to meet people.",I think that life alone is not bad.
I don't want to get married.,It's fun to live alone.
"I'm not a good job, it's not a house, and there's a loan to pay back, but the money I earn is the same.","I think it's really hard, please cheer up."
But what should I have?,You must have a hard time.
The debt was scary.,I hope the world that doesn't have to have money comes soon .
I was thinking that I should sell it half and half.,"My heart must be stuffy, it's a good idea to eat it and empty your head."
"How poor was it, I really didn't have any money to pay for meals.",You must have suffered a lot.
"With that, my brothers are back and I lived hard.",I think money really bothers people.
Even I can't pay it back... That's the money we have to pay back?,The loan or card is really like a trap.
"But I just believed in my abilities, what you can pay off soon... It was that heart.",There will be a good way. Don't let go of hope.
"When you don't have money, you get cash service and live.",You have to eat your heart firmly and I will also support you.
I quickly decided to speak English .,It's nice to see you trying.
I think of that... I thought there would be a lot to learn in many ways.,"Studying is really endless, it's nice to see you hard."
"I study at dawn, so I always study late.","It's good to study hard, but sometimes take a break, you are precious."
"I went to the academy and studied, but it didn't work well.","I think that if you immerse yourself in one, you may be disturbed. How about changing your mood sometimes?"
"My sister and younger brother are good at studying, but I'm a long time away.","Don't be too self-reproach, because each person is good at doing well."
"I keep challenging the contest, but I don't think it's going to work well.","You may not be able to study a little , how about changing the method?"
"I thought I shouldn't live like this, the warrant came out and I went to the army and wanted to be a person .",You said it's really cool.
The warrant came out in March and enlisted.,It's a problem that a man can't avoid and it's really cool to face.
My brother enlists next year .,"Yes, yes."
My mother came back to Korea because it would be better to come out of Korea.,"You said, please keep telling me."
I wanted to come back to Korea.,"Please tell me more about it, I'm curious."
It's been a while since I was in Spain and returned to Korea .,That happened.
"After entering the school, I had a boyfriend for the first time.","Yes, it was."
I played with several people I met because there was a man who was a little good.,"I think love is always the most interesting topic , please stop by ."
"Others are good at their boyfriend, why is it solo for 6 years?",Didn't you meet the relationship yet?
What is the problem with me? I think it's a woman as a woman.,Is it like that? It looks very attractive in my eyes.
"I'm not a non-marriedist, but I don't know if I live alone, it is 100% likely to be.","Don't worry too much, I haven't found a good person yet ."
"I was a boyfriend, but I had a lot of things to learn so much that I wanted to do that.",I think my boyfriend is very cool.
I was envious of that friend.,Please tell me more wonderful boyfriend stories .
I don't have a boyfriend yet.,Love is not necessarily essential. Are you okay?
There is no one who wants to go around.,I think it's really hard to find a good person .
I don't have high eyes... No one is good.,"That was, but I don't have to worry about it. Love is a choice."
I told my boyfriend to break up first.,"You said it is hard, but you have to overcome it well."
The man I met at the academy confessed and met for about three months and finished it.,"It will be very hard, I'll be next to me."
It was a car to my boyfriend.,"One day, a breakup will come. Are you okay?"
"Even if I think, I think I'm obsessed with my boyfriend.",Okay. Love style is different.
"If my boyfriend has a dinner , I'm just anxious and it's not calm ... I call it every 30 minutes .",I think your heart is hard because of obsession. Wouldn't it be nice to put it down sometimes?
I'm obsessed with my boyfriend.,I think it's an easy problem between the intimate that shows everything : why don't you try to talk?
